calBP,PrDens,lo,hi,logFit3,PerCap
2600,10.5916651350326,5.88868370066448,9.3377554101498,6.95475947862805,0.015297695249048
2570,10.7549388722952,5.89742835968027,9.36271301133525,6.97514251018869,-0.00442957717057135
2540,10.707404397132,5.8980467933034,9.34306951191155,6.99939245936872,-0.0233140252312571
2510,10.4606591891587,5.90751676632881,9.20835970903121,7.02823558762299,-0.0311544708566034
2480,10.1397871395772,5.89779134554441,9.17700388517324,7.06253150558095,-0.0467323522266923
2450,9.67683276028985,5.88058810120354,9.28872972060942,7.10329638845905,-0.0482719384584724
2420,9.22080842232977,5.87609053141243,9.32449101875171,7.15172970290609,-0.0763314187353354
2390,8.54316284993158,6.05648095366268,9.27857474618285,7.20924474896826,-0.0612122663812715
2360,8.03590021789751,6.47612881739242,9.19401109598051,7.27750323909707,-0.0440655465742079
2330,7.68948247962284,6.88935311715123,9.32416411034208,7.35845398951325,-0.0415088161738524
2300,7.37683487020069,6.99770165028207,9.56317614254794,7.45437556073954,-0.0441459386385688
2270,7.05826117446987,7.06677632947235,9.91206195054945,7.56792231899689,0.0077157225985518
2240,7.11293139864184,7.04113417698345,10.1470181094699,7.70217285554758,0.0103048503973531
2210,7.18660805407198,7.07880829211275,10.1767729286477,7.86067894678473,0.0118422173435666
2180,7.27221934185505,7.19907970941962,10.1718050995433,8.04751220979061,0.0534331553799112
2150,7.67136583368379,7.56705605353659,10.4555211884934,8.26730425579266,0.0686880293530363
2120,8.21681532274491,7.73529581035462,10.7378519066223,8.52527443503711,0.0921552413600195
2090,9.0100258895004,7.9524675052469,11.5054679752022,8.82723721063136,0.089712377099703
2060,9.85570349008207,8.14656686006075,12.1409144317733,9.17957888368961,0.125356022793204
2030,11.1719519252509,8.52183749946465,12.5474524443068,9.58919103356532,0.0999186298385886
2000,12.3459117362229,8.93499241299431,12.8875860025674,10.0633460392767,0.0942492305057336
1970,13.5661023253043,9.63278573281657,13.2429084547107,10.6094990625445,0.0721469281713505
1940,14.5810265681958,10.2755293467394,13.954828925897,11.23500182822,0.063336100576838
1910,15.5344048838027,11.0260669715948,14.8807793685312,11.9467176003024,0.0277150012311687
1880,15.9709625892061,11.8105403713502,15.4795959515077,12.750535150368,0.0353579839637335
1850,16.5457656846018,12.6628696377361,16.6985734768896,13.6507931746396,0.029357995122365
1820,17.0387168159482,13.4068613674904,17.6687047410178,14.6496455729617,0.0359733257326003
1790,17.6628142550417,14.1111244422521,18.6612376451276,15.7464206888259,0.053847671320828
1760,18.6399888557672,15.3085061962945,19.8340053158533,16.9370502454631,0.0597850541739069
1730,19.7883675100894,17.2595469135624,21.6160202872032,18.2136602457823,0.0370379118853661
1700,20.5350293659222,18.3927128048846,22.6988957916786,19.5644191645235,0.0350894844438376
1670,21.2683842365124,19.5115336147113,24.0704456585027,20.9737218833014,0.0353640392489778
