,X,calBP,PrDens,MKDE,PerCap,spdPerCap
65,58065,1550,36.4289440661515,0.00569097600949009,0.0281566238680426,0.0262130161367571
66,58965,1520,37.3964822105199,0.00585349189305496,0.0286709608565037,0.0193057778599841
67,59865,1490,38.1254645325792,0.00602374614387826,0.0311617978787053,0.0146202557299522
68,60765,1460,38.6869631991703,0.00621441222388022,0.0309072041024283,0.0137187838257331
69,61665,1430,39.2213585298858,0.00640948132293812,0.0454477637874877,0.030714064177253
70,62565,1400,40.444696525214,0.00670749873409475,0.0504018654441145,0.0550923424332694
71,63465,1370,42.7354106367189,0.00705423383140572,0.054210082638904,0.0628823079593159
72,64365,1340,45.5090029510554,0.00744719955205596,0.0691704920806027,0.0679263358219924
73,65265,1310,48.7076698396493,0.00798055976308348,0.0657235056824161,0.103765175045516
74,66165,1280,54.0333627401158,0.00852269035560574,0.0572934953351592,0.0879812306733467
75,67065,1250,59.0026828544265,0.00902524414354147,0.0519226622913847,0.0615916581302356
76,67965,1220,62.7510037004994,0.00950623803197065,0.0449378793949222,0.0283551283505954
77,68865,1190,64.5557829171338,0.00994317212931046,0.0280325982581351,0.00801986978249136
78,69765,1160,65.075593510362,0.010225848646663,0.0260021802012966,0.0204406702806548
79,70665,1130,66.4194703408827,0.0104952300806512,0.0252738103047507,0.0179377916505921
80,71565,1100,67.6216388511231,0.0107638649487586,0.0246082398639222,0.0249725555215203
81,72465,1070,69.3315859933684,0.0110320307306983,0.0274751618959961,0.0228628537678173
82,73365,1040,70.9349629507142,0.011339339914181,0.0402528985928381,0.0199300672430338
83,74265,1010,72.3628835441659,0.011805092268651,0.0401339599731161,0.0175776901823461
84,75165,980,73.6461008499022,0.0122885132822007,0.0504349464603067,0.0466859517732088
85,76065,950,77.165861575996,0.0129241789345797,0.0561439428585508,0.103040635534222
86,76965,920,85.5411705714803,0.0136705493417423,0.0512099611102022,0.0939534912564195
87,77865,890,93.9677161864154,0.0143888528184508,0.0399383197096466,0.0624079663041011
88,78765,860,100.01890766427,0.0149751493416659,0.0372933844632826,0.0151284487962275
89,79665,830,101.5435421867,0.0155441677062431,0.0202776626687475,0.00954655696969908
90,80565,800,102.517575331035,0.0158625845596532,0.0066705602061452,0.0183049079299042
91,81465,770,104.411430651478,0.0159687505847479,0.00417724755821247,0.00356018259263369
92,82365,740,104.783816897541,0.016035595525869,-0.00936591601403158,-0.0237179307417428
93,83265,710,102.327802507937,0.0158861086186005,-0.0115492357415858,-0.0450864647505531
94,84165,680,97.8166634600398,0.0157036916212349,-0.0154282752505726,-0.0161504086252657
95,85065,650,96.2495730129496,0.015463270157685,-0.0194633018969528,-0.00260298921698432
96,85965,620,95.9993622015559,0.0151652138513129,-0.0218868228137978,0.0247899612966638
97,86865,590,98.4089257719221,0.0148369014662502,-0.035995813915668,-0.0393739167489073
98,87765,560,94.6094714668153,0.0143123328972908,-0.0398974489543171,-0.0757322580986433
99,88665,530,87.7090716996213,0.013752548563272,-0.0420112393490575,-0.0765986992773859
100,89565,500,81.2415353019612,0.0131867550118017,-0.0444093469402311,-0.0535659497054528
101,90465,470,77.004255393574,0.0126139528547936,-0.0460700393678879,-0.0323591518079329
102,91365,440,74.5523477774639,0.0120460105609114,-0.0450277578683922,-0.0279156693018132
103,92265,410,72.4999494100885,0.0115156361084182,-0.0464331035806529,-0.0084316964633242
104,93165,380,71.8912217528512,0.010993153499525,-0.0711413210573086,0.00518026102156455
105,94065,350,72.2646033186986,0.0102382565756302,-0.110468020037762,-0.086202041784996
106,94965,320,66.2961871734299,0.00916748815402897,-0.125334472684085,-0.214015504930535
107,95865,290,53.5232897663066,0.00808757437526562,-0.153211050149366,-0.378402472943664
108,96765,260,36.6610326004849,0.00693872337562702,-0.183919891298739,-0.518543695786136
109,97665,230,21.8275015383714,0.00577303486083483,,
