calBP,PrDens,MKDE,PerCap
1640,6.56272771063428,0.00558057729560702,0.00718545211596844
1610,6.64500509603025,0.00562082067683906,0.00914488311130768
1580,6.68543808686,0.00567245817449344,0.0187502796583443
1550,6.95661121291445,0.00577982175469966,0.0305775201193832
1520,7.22566900872737,0.00595928414545735,0.0329466378480205
1490,7.44840328951975,0.00615889268149337,0.0203671265079031
1460,7.65822290790115,0.00628561776009696,5.07327425935955E-06
1430,7.70712145377876,0.00628564964884064,-0.0144624220592888
1400,7.48076366727347,0.00619539813156037,-0.0117096610607863
1370,7.24649895513705,0.00612327521088073,0.0123960247246409
1340,7.25983601325818,0.0061996518873657,0.0503153115888484
1310,7.66212314573257,0.00651957020876343,0.0817750163128874
1280,8.37461545062723,0.00707511339651895,0.089308409923869
1250,9.03001733497977,0.00773605510333949,0.0753667435491927
1220,9.86551368203462,0.00834162986429279,0.0553679475745641
1190,10.6625389754471,0.00881651416247702,0.0395200125288007
1160,11.1137354613802,0.00917191946797536,0.0265392554784762
1130,11.3875668275287,0.00941859418539703,0.011594780705777
1100,11.5814681022964,0.0095284362864854,-0.00484475830624209
1070,11.516123716098,0.00948238495949058,-0.0169363084545271
1040,11.2482407373949,0.00932314067452865,-0.0198141750439849
1010,10.9755110549898,0.00914022844497354,-0.0148316822160304
980,10.7892185127169,0.00900566385766465,-0.00855298958789064
950,10.6687802160239,0.00892896696985352,-0.00634544898938305
920,10.552807251088,0.00887248804698932,-0.00798894996162236
890,10.5590195352626,0.00880188856729284,-0.0105763436314295
860,10.5125337087365,0.00870928732367515,-0.0129585056578261
830,10.2097840908976,0.00859715607046764,-0.014000114608363
800,10.0196096580141,0.00847763351712494,-0.00920147786289238
770,10.1012968018841,0.00839998455047052,0.00348473456970044
740,10.1878111750826,0.00842930732839433,0.0159319197650172
710,10.2742575951213,0.00856467786935465,0.017394223474855
680,10.398330357747,0.00871495699555048,0.00761616627664097
650,10.5582660278018,0.00878158495988178,-0.00525200380240598
