calBP,PrDens,lo,hi,logFit3,PerCap
1610,6.63020696494241,6.53208595331577,9.55753543522107,7.64887819802513,0.00659438660162937
1580,6.67407359069764,6.71139852101758,9.47884926987597,7.77555322735349,0.0186035862464706
1550,6.79939741619724,6.94744524063316,9.85088220066681,7.89902006394847,0.0520400744080771
1520,7.16260733342805,7.08862038457017,9.81460901814363,8.01898146474802,0.0514307897824551
1490,7.54062339648368,7.01498867091353,9.99299465159232,8.13518073199969,0.0406876454003515
1460,7.85376082126743,6.9041002255826,10.3077423671828,8.24740260203393,-0.0015517038383015
1430,7.84158356065034,6.97287333014093,10.2776203649762,8.35547327312266,-0.0375172228153344
1400,7.55283942943084,7.27136450492686,10.13725961908,8.45925964810543,-0.0475873949893266
1370,7.20183734979178,7.35449586823978,10.375864383839,8.55866788682537,-0.0393681768566294
1340,6.92382251777438,7.36293989808667,10.9747593983162,8.65364137627148,0.0438849883659525
1310,7.23444026680775,7.56919283660945,11.1317307414702,8.74415823287775,0.125418663395977
1280,8.20112759042282,7.66840668070708,11.0727275136384,8.83022845226142,0.133455953155078
1250,9.37201020005113,7.98909480436075,11.1824266857225,8.91189081763492,0.0724936088631463
1220,10.0766535442209,7.63106997245393,11.5783519834799,8.98920967020023,0.0507577751776585
1190,10.6013249971728,7.4131003320199,11.1994967629993,9.06227163407969,0.036592281062227
1160,10.9964365916378,7.34598400453669,10.9264752523248,9.13118237577644,0.0496650907194893
1130,11.5563649698654,7.33048529956131,10.7354604470766,9.19606346471288,0.0344146246936599
1100,11.9609956037058,7.16711224626849,10.9836452529283,9.25704938785425,-0.0278189877382848
1070,11.6328384762411,7.45376532090672,10.9703869971351,9.31428475841386,-0.0347120796519582
1040,11.2359664367993,7.43908235160467,11.1938320115573,9.36792174662125,-0.0422110408801633
1010,10.7715551933948,7.28325381798918,11.5336167002665,9.41811774982451,-0.0127333759487454
980,10.6352664807423,7.43509654663222,11.7637528022418,9.46503330996832,0.0133256621403683
950,10.7779369265178,7.95699678954991,11.5851122697378,9.50883027879991,-0.0113902873102516
920,10.6558696387864,8.11141421374377,11.2485641245254,9.54967022497846,-0.0114155453736191
890,10.5349187490843,7.97284753469561,11.4499824398618,9.58771307250788,-0.0141086050262396
860,10.3873293300446,7.89688027687365,12.1995039291642,9.62311595644065,-0.00642589179123165
830,10.3207954743916,7.80714339742092,12.4064102159167,9.65603227945326,-0.0148373749824335
800,10.1687924136101,7.87913831345508,12.1346007646925,9.68661095149985,-0.0310216527128406
770,9.85818239397232,8.11571148560707,11.9680907203,9.71499579414235,0.00432501291355614
740,9.90091149548176,8.22908654909081,11.9183493379499,9.74132509117222,0.0396635726515058
710,10.3015090663969,8.12959005370373,11.8133344965007,9.76573126763725,0.0383759364365908
680,10.7045226768273,8.35334457537044,11.5603090309651,9.78834068023837,-0.00178762376684682
650,10.6854041111699,8.65050961599359,11.5136540657164,9.80927350315817,-0.021140135837991
620,10.4618841621117,8.88857850095593,11.8379912663552,9.82864369463358,-0.0185465112427119
590,10.2696409409202,8.73631180814203,12.1155389363561,9.84655903091804,-0.00971919836335911
560,10.1703117454802,8.71972817675029,12.0893901316684,9.86312119563453,-0.040536820476031
530,9.76628396927751,9.0505737311246,11.7002952622085,9.87842591385801,-0.0222315962419692
500,9.55155956420547,8.805371863635,11.5402068883938,9.89256312155056,-0.0235296029950924
470,9.3294386164017,8.39489462930455,11.5915865120991,9.90561716218444,0.00546751315856087
440,9.38058714500729,8.08265695070916,11.7677343331268,9.91766700351123,-0.00891699074297447
410,9.29731236826124,8.04393646443998,11.9409748296074,9.92878646846312,-0.00982948740675349
380,9.20637223308705,7.9912964483488,11.8688683968921,9.93904447510107,0.00318918568885129
350,9.23577993204013,8.01366101627578,11.8882431793447,9.94850528135502,-0.00198032271682402
320,9.21750820516235,7.51382445301841,11.0235997209262,9.95722873103676,-0.0455448151855653
290,8.80711507555981,6.12592317716475,8.62275642217239,9.96527049825204,-0.0960259528107281
260,8.00073948715025,4.11610962615261,6.3038908529505,9.97268232790028,-0.146477161623334
230,6.91060239789681,1.66537828772617,3.65615775513489,9.97951227043577,0.086019586841517
200,7.53136573985102,2.2162699507691,4.75022757461909,9.98580490948044,
