calBP,PrDens,lo,hi,logFit3
3460,0.188768671493232,0.0213782822647281,0.0447939938889859,0.228286047904096
3459,0.188046032023947,0.0218134517092707,0.045713256962088,0.228286199316581
3458,0.186554741274402,0.0226410822003898,0.0476106488906726,0.228286351615091
3457,0.18309051069779,0.0247293987578347,0.05142062161916,0.228286504804809
3456,0.179568918088562,0.0266733132093452,0.0550411930336447,0.228286658890952
3455,0.175806010349753,0.0288058788141076,0.0588356032653072,0.228286813878763
3454,0.170833522822869,0.0317428647987401,0.0638322367170428,0.22828696977352
3453,0.16670552259408,0.0343518414008046,0.0680048699672364,0.228287126580529
3452,0.16247079141131,0.0371707710595395,0.0723449555930677,0.228287284305128
3451,0.157113039839073,0.0410050394624059,0.0782162058826919,0.228287442952687
3450,0.152805408452826,0.0443945141479862,0.0835212658317085,0.228287602528605
3449,0.148506927239774,0.0481280753459002,0.0890302050154208,0.228287763038316
3448,0.144324249037204,0.052516705546194,0.0948492744713684,0.228287924487283
3447,0.140186249230531,0.056880982061899,0.10087865383345,0.228288086881002
3446,0.136126840056165,0.0611585477005638,0.10789474903645,0.228288250225002
3445,0.132310757253947,0.0656487376945142,0.115173687342838,0.228288414524842
3444,0.128514602335254,0.0696340458190518,0.122127359269549,0.228288579786117
3443,0.125766023675903,0.0724788144259839,0.127639554481636,0.228288746014451
3442,0.123099217856415,0.0753414644226981,0.133174604447238,0.228288913215503
3441,0.120650731881958,0.0779120441040001,0.138331471534119,0.228289081394965
3440,0.118157839435299,0.080348666011203,0.14350050453366,0.228289250558563
3439,0.116551948880948,0.0819877169339149,0.146873135720656,0.228289420712054
3438,0.115764039801011,0.0828144943571384,0.148541338964455,0.228289591861231
3437,0.114986266639071,0.0836389067964742,0.150201834069734,0.22828976401192
3436,0.114986266639071,0.0836389067964742,0.150201834069734,0.228289937169981
3435,0.114986266639071,0.0836389067964742,0.150201834069734,0.228290111341309
3434,0.115764039801011,0.0828144943571384,0.148541338964455,0.228290286531833
3433,0.116707298108286,0.0820208299180925,0.146648049892246,0.228290462747516
3432,0.118310227319864,0.0803745859644786,0.143294122764816,0.228290639994358
3431,0.11996325895698,0.078743631348614,0.139888582203845,0.228290818278391
3430,0.121656386542248,0.077122069432779,0.136426663036874,0.228290997605685
3429,0.12337972834423,0.0753681332608999,0.132869826130107,0.228291177982344
3428,0.126033843760218,0.0725290254963336,0.127465294893158,0.228291359414509
3427,0.127847325372937,0.0706424765641938,0.123840257061803,0.228291541908355
3426,0.139977321550816,0.0687928807177177,0.116671438301665,0.228291725470095
3425,0.139362677948766,0.0698346593921367,0.118233485697219,0.228291910105977
