calBP,Correct,CKDE,MKDE,ConstantCorrect,logistic,exponential,EXPCorrect,Logistic,LogisticCorrect,LogisticOver,OverCorrect,missKDE,MissCorrect,Pert
3170,0.00738537893462566,0.00738537893462566,0.00344813924914238,0.00214184474610837,,0.00204947793116797,0.00438966353913717,0.00201861861896067,0.00432356768341744,0.00201861861896067,0.00432356768341744,0.00142801300696558,0.00305858215634364,
3140,0.00702266358016454,0.00702266358016454,0.00330396162124617,0.00212552819469972,,0.0020804518235702,0.00442205900871292,0.00202098413218325,0.00429565875399624,0.00202098413218325,0.00429565875399624,0.00153991873409487,0.00327314068686495,
3110,0.00651673367424863,0.00651673367424863,0.00308961595514604,0.00210923744855551,,0.00211189382640971,0.00445448554603655,0.00202364899783908,0.00426835624897402,0.00202364899783908,0.00426835624897402,0.00164617848545222,0.00347218130852221,
3080,0.00597355316771323,0.00597355316771323,0.0028541,0.00209297262454477,,0.00214381101426978,0.00448693776506421,0.00202665077782332,0.00424172459749657,0.00202665077782332,0.00424172459749657,0.00172895831506144,0.00361866242240265,
3050,0.00543647384841683,0.00543647384841683,0.0026178,0.00207673384078877,,0.00217621056865233,0.00451941013260245,0.00203003166070668,0.00421583544766217,0.00203003166070668,0.00421583544766217,0.00173823911710136,0.00360985999786718,
3020,0.00491805203997713,0.00491805203997713,0.0023868,0.00206052121668222,,0.00220909977959378,0.00455189696562101,0.0020338390082934,0.00419076842790448,0.0020338390082934,0.00419076842790448,0.00174221208232666,0.0035898649595942,
2990,0.00444479288069199,0.00444479288069199,0.0021742,0.00204433487291509,,0.00224248604730535,0.00458439242853185,0.00203812596041369,0.00416661197626727,0.00203812596041369,0.00416661197626727,0.00172986790319008,0.00353642928002798,
2960,0.00404961171837618,0.00404961171837618,0.0019966777300573,0.00202817493149481,,0.00227637688383813,0.00461689053043476,0.00204295210239837,0.00414346424032899,0.00204295210239837,0.00414346424032899,0.00169828238745346,0.00344441376483226,
2930,0.00376322075397763,0.00376322075397763,0.0018703494557562,0.00201204151576911,,0.0023107799147733,0.00464938512232928,0.0020483841994977,0.00412143404963483,0.0020483841994977,0.00412143404963483,0.00166819827269892,0.00335648418120454,
2900,0.00360066628981056,0.00360066628981056,0.001804,0.00199593475044931,,0.00234570288093798,0.00468186989429317,0.00205449700211474,0.00410064196121474,0.00205449700211474,0.00410064196121474,0.00167509163937192,0.00334337361320952,
2870,0.00355621512284746,0.00355621512284746,0.0017962,0.00197985476163426,,0.00238115364014687,0.00471433837262754,0.00206137412506123,0.00408122137701214,0.00206137412506123,0.00408122137701214,0.00169776106855104,0.00336132033568805,
2840,0.00361948287057416,0.00361948287057416,0.0018431,0.00196380167683477,,0.00241714016897036,0.00474678391696868,0.00206910900302801,0.00406331972970032,0.00206910900302801,0.00406331972970032,0.00173739430422476,0.00341189784795976,
2810,0.00381296556349737,0.00381296556349737,0.0019576,0.00194777562499866,,0.00245367056452926,0.0047791997173668,0.00207780592299386,0.00404709973028529,0.00207780592299386,0.00404709973028529,0.00187209393091247,0.00364641892633923,
2780,0.00422904563162563,0.00422904563162563,0.0021892,0.00193177673653646,,0.00249075304631668,0.0048115787913319,0.00208758113225536,0.00403274066692335,0.00208758113225536,0.00403274066692335,0.00202152883856006,0.0039051423825679,
2750,0.00498875659327743,0.00498875659327743,0.002604,0.00191580514334771,,0.00252839595804746,0.00484391398084689,0.00209856401800409,0.00402043973933666,0.00209856401800409,0.00402043973933666,0.00220625796667297,0.00422676036010393,
2720,0.00610699816690001,0.00610699816690001,0.00321444475932313,0.00189986097884786,,0.00256660776953556,0.00487619794934834,0.00211089835073972,0.0040104134068847,0.00211089835073972,0.0040104134068847,0.00246439221082996,0.00468200259793244,
2690,0.0073715873877584,0.0073715873877584,0.00391284767950526,0.00188394437799594,,0.00260539707859976,0.00490842317867506,0.00212474357909828,0.00400289872052519,0.00212474357909828,0.00400289872052519,0.00272439665089996,0.00513261175389395,
2660,0.00842727856686521,0.00842727856686521,0.00451125711691521,0.00186805547732286,,0.00264477261299824,0.00494058196598487,0.0021402761576833,0.00399815459934382,0.0021402761576833,0.00399815459934382,0.00290610339046937,0.00542876235623286,
2630,0.00903554987067531,0.00903554987067531,0.00487829452334699,0.00185219441496042,,0.00268474323239237,0.00497266642063993,0.00215769088198757,0.0039964630008284,0.00215769088198757,0.0039964630008284,0.00302953992671449,0.00561129693216019,
2600,0.0092264381704645,0.00922643817046451,0.00502430432201098,0.00183636133067107,,0.00272531793034013,0.00500466846106113,0.00217720219525429,0.00399812992041716,0.00217720219525429,0.00399812992041716,0.00314569458758896,0.00577663189874965,
2570,0.00918638362529257,0.00918638362529257,0.00504592101484317,0.00182055636587845,,0.00276650583631973,0.00503657981155177,0.00219904542093249,0.00400348613993449,0.00219904542093249,0.00400348613993449,0.00317863578502196,0.00578688561323076,
2540,0.00906743945565003,0.00906743945565003,0.00502412545865432,0.00180477966369866,,0.0028083162177838,0.00506839199909134,0.00222347786105951,0.00401288762632441,0.00222347786105951,0.00401288762632441,0.00318804663236809,0.00575372172902093,
2510,0.00890115348149719,0.00890115348149719,0.00497540380558545,0.00178903136897243,,0.00285075848224454,0.00510009635009972,0.00225077968536225,0.00402671546175896,0.00225077968536225,0.00402671546175896,0.00317240718480499,0.00567553596876965,
2480,0.0086284949674754,0.0086284949674754,0.00486575220608956,0.00177331162829803,,0.00289384217939051,0.00513168398717249,0.00228125451815636,0.00404537516415408,0.00228125451815636,0.00404537516415408,0.00306662694176902,0.00543808521549103,
2450,0.00819358123290479,0.00819358123290479,0.00466174627176013,0.00175762059006509,,0.00293757700323533,0.00516314582578813,0.00231522961050233,0.00406929523414728,0.00231522961050233,0.00406929523414728,0.00295274600780955,0.00518980718055857,
2420,0.00762268062161639,0.00762268062161639,0.00437592574080488,0.00174195840448936,,0.00298197279429887,0.00519447257098754,0.00235305546411644,0.00409892474194725,0.00235305546411644,0.00409892474194725,0.00282490082491695,0.00492085973381301,
2390,0.00703547052309501,0.00703547052309501,0.00407540272639172,0.00172632522364828,,0.00302703954182143,0.00522565471402708,0.00239510475222375,0.00413472974704374,0.00239510475222375,0.00413472974704374,0.00267793831719958,0.00462299246435587,
2360,0.00660747690158418,0.00660747690158418,0.00386239259542842,0.00171072120151765,,0.00307278738601131,0.00525668252900555,0.00244177036241321,0.00417718832821771,0.00244177036241321,0.00417718832821771,0.00253187997228517,0.00433134074828616,
2330,0.00647914340243418,0.00647914340243418,0.00382217314275331,0.00169514649400914,,0.00311922662032647,0.0052875460694664,0.00249346236982153,0.00422678399414671,0.00249346236982153,0.00422678399414671,0.00242005659956515,0.00410235046005655,
2300,0.00662906638766903,0.00662906638766903,0.00394680960859748,0.00167960125900897,,0.00316636769379053,0.00531823516497591,0.00255060373862284,0.00428399725062391,0.00255060373862284,0.00428399725062391,0.00232497814761253,0.00390503622389835,
2270,0.0068629769032897,0.0068629769032897,0.00412417286142859,0.00166408565641751,,0.00321422121334391,0.00534873941767851,0.00261362454966763,0.0043492951243626,0.00261362454966763,0.0043492951243626,0.00224235641635457,0.00373147314903142,
2240,0.00699612165063688,0.00699612165063688,0.00424367481188203,0.0016485998481901,,0.00326279794623039,0.00537904819883041,0.00268295456682665,0.00442311849157136,0.00268295456682665,0.00442311849157136,0.00224171798557664,0.00369569593070667,
2210,0.0070337133801862,0.0070337133801862,0.0043068543785288,0.0016331439983789,,0.00331210882241981,0.00540915064531272,0.00275901398938309,0.00450586713820441,0.00275901398938309,0.00450586713820441,0.00225600830946792,0.00368438643090046,
2180,0.00712722973333627,0.00712722973333627,0.00440572987986576,0.00161771827317598,,0.00336216493706733,0.00543903565612541,0.00284220229808814,0.00459788259367997,0.00284220229808814,0.00459788259367997,0.00230957052861733,0.00373623444733297,
2150,0.00735622664805177,0.00735622664805177,0.00459097658724963,0.00160232284095763,,0.00341297755300994,0.00546869188886349,0.00293288519312455,0.00469942893484988,0.00293288519312455,0.00469942893484988,0.00245678503034186,0.00393656276943954,
2120,0.0076191851633254,0.0076191851633254,0.00480112629085705,0.00158695787232985,,0.00346455810330057,0.00549810775617701,0.00303137974651533,0.00481067195275375,0.00303137974651533,0.00481067195275375,0.00260812353877645,0.00413898218187007,
