,calBP,PrDens,lo,hi,logFit3
130,3371,0.116986145188422,0.0915740880524311,0.151831399358035,0.118875119666266
131,3370,0.11721673445789,0.0918273005863218,0.151785955920135,0.11888294759806
132,3369,0.11744876622775,0.0920878381359305,0.151839214550341,0.118890796898702
133,3368,0.117680155133972,0.0921493058260684,0.152098203172027,0.118898667624946
134,3367,0.117915120718725,0.0921104786382489,0.152355514262474,0.118906559833691
135,3366,0.118151472720683,0.0921741727046095,0.152634680271471,0.118914473581976
136,3365,0.118390584805002,0.0923297578535411,0.152956863831913,0.118922408926986
137,3364,0.118635577039098,0.0924613928427669,0.153264632750537,0.118930365926045
138,3363,0.118880569273194,0.0925327814079617,0.15357240166916,0.118938344636623
139,3362,0.119126866425498,0.0925758225659366,0.153878439340222,0.118946345116331
140,3361,0.119374285261707,0.0926177710320087,0.154183642728649,0.118954367422928
141,3360,0.119622832999732,0.092658593480408,0.154481493932569,0.118962411614312
142,3359,0.119870272938745,0.0926948059056712,0.154778089855585,0.118970477748529
143,3358,0.120114307409919,0.0927272815663298,0.155102299748306,0.118978565883769
144,3357,0.120357723353413,0.0927548648381943,0.155729686329975,0.118986676078367
145,3356,0.120598625254427,0.0927782764010847,0.156441138377389,0.118994808390803
146,3355,0.120841312230417,0.0927959942833996,0.157158367385188,0.119002962879703
147,3354,0.121082751966119,0.0928044004049523,0.157887358987354,0.11901113960384
148,3353,0.121324425969557,0.092807170497312,0.158612035385047,0.11901933862213
149,3352,0.121568022171981,0.0927974064156837,0.159330004347901,0.11902755999364
150,3351,0.121810623638287,0.0925321167514106,0.160038703306124,0.119035803777581
151,3350,0.122051542317626,0.0924684517193718,0.160738730645105,0.119044070033313
152,3349,0.122289638834551,0.0924645310840626,0.161428425845885,0.119052358820342
153,3348,0.122525590044354,0.09242895938421,0.162112753992678,0.119060670198323
154,3347,0.122756504529285,0.0923752076269303,0.162786172130706,0.119069004227059
155,3346,0.122982737571579,0.0923232432775424,0.163449018516614,0.119077360966501
156,3345,0.12320048675735,0.0922697645759426,0.164097246227726,0.11908574047675
157,3344,0.123412296113685,0.0922368332833558,0.164733688661406,0.119094142818055
158,3343,0.123614149554287,0.0923172454793807,0.165354433828833,0.119102568050815
159,3342,0.123810938266016,0.0922664977506501,0.165968704948794,0.119111016235578
160,3341,0.12399682104411,0.0921837446238174,0.166570023210672,0.119119487433043
161,3340,0.124166013352802,0.0920909106760383,0.167158503334927,0.11912798170406
162,3339,0.124323363603477,0.0919910250244899,0.167740966560015,0.119136499109628
163,3338,0.124460488019139,0.0918828724860296,0.16831083894662,0.119145039710899
164,3337,0.124570825350467,0.0917619672739507,0.16886897593626,0.119153603569174
165,3336,0.124659960382079,0.0916318668251271,0.169422881363499,0.119162190745907
166,3335,0.124725517145985,0.0914948047711983,0.169966282910122,0.119170801302705
167,3334,0.124773913849672,0.0911408512337103,0.170501859119246,0.119179435301325
168,3333,0.124804958586476,0.0908281623578612,0.171029485202874,0.119188092803679
169,3332,0.1248236099216,0.0905552586335948,0.171546412527946,0.119196773871831
170,3331,0.12483263681163,0.0902831022654807,0.172071848562802,0.119205478567997
171,3330,0.124835088088228,0.0900189603387234,0.172578073908747,0.119214206954549
172,3329,0.124833375892307,0.0897646029062433,0.173062196182376,0.11922295909401
173,3328,0.12483092426238,0.0895141946764467,0.173536606735817,0.11923173504906
174,3327,0.124833139568086,0.0892720871230608,0.173990075066382,0.119240534882533
