OBJECTID,LabID,Age,Error,Material,Taxa,d13C,Method,Long,Lat,LocAccuracy,Period,SiteID,SiteName,Country,Province,Continent,Source,Reference,calib,NEAR_FID,NEAR_DIST
33741,Beta-431461,3240,30,CHARCOAL,NA,-24.9,AMS,-87.38285103,36.49694988,1,NA,40MT82,NA,USA,Tennessee,North America,UWyo2021,Hunter Johnson pers com. 2020,intcal20,162716,669444.545807014
33742,Beta-431462,4040,30,CHARCOAL,NA,-24.7,AMS,-87.38285103,36.49694988,1,NA,40MT82,NA,USA,Tennessee,North America,UWyo2021,Hunter Johnson pers com. 2020,intcal20,162716,669444.545807014
33793,Beta-432944,610,30,CHARCOAL,NA,-26.4,NA,-86.89406266,40.38862633,1,NA,12T59/12T530,Kethtippecanunk,USA,Indiana,North America,UWyo2021,Martin 2018-Phase II and III Investigations at site 12T59/530…,intcal20,153928,805978.194151206
33822,Beta-433807,3020,30,CHARCOAL,NA,-24.7,AMS,-87.38285103,36.49694988,1,NA,40MT82,NA,USA,Tennessee,North America,UWyo2021,Hunter Johnson pers com. 2020,intcal20,162716,669444.545807014
34304,Beta-4680à,1140,290,CHARCOAL,NA,NA,NA,-89.3668488,38.08381485,1,NA,NA,21C4-29 Galum Crossing,USA,Illinois,North America,UWyo2021,Aberle 2007-An Analysis of the Woodland Ceramics from Galum…,intcal20,162716,861951.948240609
34305,Beta-4681,1230,50,CHARCOAL,NA,NA,NA,-89.3668488,38.08381485,1,NA,NA,21C4-29 Galum Crossing,USA,Illinois,North America,UWyo2021,Aberle 2007-An Analysis of the Woodland Ceramics from Galum…,intcal20,162716,861951.948240609
34834,Beta-504439,340,30,CHARCOAL,NA,-10.1,AMS,-90.17329328,33.95054874,1,NA,22TL1453,NA,USA,Mississippi,North America,UWyo2021,Hunter Johnson pers com. 2020,intcal20,163104,414011.9920341
34835,Beta-504440,320,30,CHARCOAL,NA,-10.4,AMS,-90.17329328,33.95054874,1,NA,22TL1453,NA,USA,Mississippi,North America,UWyo2021,Hunter Johnson pers com. 2020,intcal20,163104,414011.9920341
34836,Beta-504441,460,30,CHARCOAL,NA,-27,AMS,-90.17329328,33.95054874,1,NA,22TL1453,NA,USA,Mississippi,North America,UWyo2021,Hunter Johnson pers com. 2020,intcal20,163104,414011.9920341
34837,Beta-504442,1970,30,CHARCOAL,NA,-26.5,AMS,-90.17329328,33.95054874,1,NA,22TL1453,NA,USA,Mississippi,North America,UWyo2021,Hunter Johnson pers com. 2020,intcal20,163104,414011.9920341
34968,Beta-51521,1070,160,CHARCOAL,NA,-25,RADIOMETRIC,-92.20770171,37.82475193,1,NA,23PU383,Dead Deer,USA,Missouri,North America,UWyo2021,Reeder 2000,intcal20,163104,885711.886703113
34969,Beta-51522,1130,80,CHARCOAL,NA,-25,RADIOMETRIC,-92.20770171,37.82475193,1,NA,23PU383,Dead Deer,USA,Missouri,North America,UWyo2021,Reeder 2000,intcal20,163104,885711.886703113
35407,Beta-55926,600,70,CHARCOAL,NA,NA,AMS,-90.84817456,34.4284401,1,NA,3PH19,Ellis Mound,USA,Arkansas,North America,UWyo2021,Starr 2009,intcal20,163104,473450.462729098
35638,Beta-58895,5590,50,CHARCOAL,NA,-25,NA,-87.65396689,34.90145202,1,NA,1LU496,Dust Cave,USA,Alabama,North America,UWyo2021,Sherwood et al. 2004,intcal20,162716,481303.691911628
35639,Beta-58897,6790,120,CHARCOAL,NA,-25,NA,-87.65396689,34.90145202,1,NA,1LU496,Dust Cave,USA,Alabama,North America,UWyo2021,Sherwood et al. 2004,intcal20,162716,481303.691911628
35640,Beta-58898,5760,120,CHARCOAL,NA,-25,NA,-87.65396689,34.90145202,1,NA,1LU496,Dust Cave,USA,Alabama,North America,UWyo2021,Sherwood et al. 2004,intcal20,162716,481303.691911628
35641,Beta-58899,6660,100,CHARCOAL,NA,-25,NA,-87.65396689,34.90145202,1,NA,1LU496,Dust Cave,USA,Alabama,North America,UWyo2021,Sherwood et al. 2004,intcal20,162716,481303.691911628
35909,Beta-62688,630,60,CHARCOAL,NA,NA,NA,-87.9452895,37.65855508,1,NA,15UN28,Slack Farm,USA,Kentucky,North America,UWyo2021,Pollack 2004; Pappas 2008 An Analysis of the textile-impressed ceramics,intcal20,162716,803686.816124476
35916,Beta-62695,600,50,CHARCOAL,NA,NA,NA,-87.9452895,37.65855508,1,NA,15UN28,Slack Farm,USA,Kentucky,North America,UWyo2021,Pollack 2004; Pappas 2008 An Analysis of the textile-impressed ceramics,intcal20,162716,803686.816124476
36166,Beta-65168,5280,130,CHARCOAL,NA,-25,NA,-87.65396689,34.90145202,1,NA,1LU496,Dust Cave,USA,Alabama,North America,UWyo2021,Sherwood et al. 2004,intcal20,162716,481303.691911628
36167,Beta-65169,5910,70,CHARCOAL,NA,-25,NA,-87.65396689,34.90145202,1,NA,1LU496,Dust Cave,USA,Alabama,North America,UWyo2021,Sherwood et al. 2004,intcal20,162716,481303.691911628
36168,Beta-65170,7480,120,CHARCOAL,NA,-25,NA,-87.65396689,34.90145202,1,NA,1LU496,Dust Cave,USA,Alabama,North America,UWyo2021,Sherwood et al. 2004,intcal20,162716,481303.691911628
36169,Beta-65171,6280,90,CHARCOAL,NA,-25,NA,-87.65396689,34.90145202,1,NA,1LU496,Dust Cave,USA,Alabama,North America,UWyo2021,Sherwood et al. 2004,intcal20,162716,481303.691911628
36170,Beta-65173,7040,80,CHARCOAL,NA,-25,NA,-87.65396689,34.90145202,1,NA,1LU496,Dust Cave,USA,Alabama,North America,UWyo2021,Sherwood et al. 2004,intcal20,162716,481303.691911628
36171,Beta-65174,6350,90,CHARCOAL,NA,-25,NA,-87.65396689,34.90145202,1,NA,1LU496,Dust Cave,USA,Alabama,North America,UWyo2021,Sherwood et al. 2004,intcal20,162716,481303.691911628
