Site,County,State,Inclusion2,Inclusion,BP,PeriodID,PeriodID2,TimeID,Nuts,EAC,IP,IP Source,CultIndex,MesoIndex,MesoIndex2
Noblesville,Hamilton,IN,0,1,636,749-300,5,500,1,19,78,78 Bush 2004b:68-73,0.989795918,0.795918367,
Bundy-Voyles,Morgan,IN,0,1,622,749-300,5,500,560,21408,250,250 Bush 2004b:68-73,0.974795211,0.011252138,
12H993,Hamilton,IN,0,1,610,749-300,5,500,64,3,292,292 Bush 2005b:186,0.821727019,0.813370474,
Clampitt,Hamilton,IN,0,1,605,749-300,5,500,1168,4,441,441 Bush 2004b:68-73,0.275883447,0.273403596,
Bowles,Ohio,KY,0,1,4500,5000-3450,0,4500,1565,5,0,"0 Crawford 1982:208, 216, 219",0.003184713,0,
Carlston Annis,Butler,KY,0,1,4403,5000-3450,0,4000,2852,13,0,"0 Crawford 1982:208, 216, 219",0.004537522,0,
Hansen,Greenup,KY,0,1,4000,5000-3450,0,4000,512,1,0,"0 Lopinot 1988:589, 592",0.001949318,0,
Peter Cave,Ohio,KY,0,1,4000,5000-3450,0,4000,1491,24,0,,0.015841584,0,
Cloudsplitter,Menifee,KY,0,1,3950,5000-3450,0,3500,5865,0,0,"0 Cowan 1985:335-336, 343-9",0,0,
Cold Oak,Lee,KY,0,1,2885,3400-1900,1,2500,10477,32,0,"0 Gremillion 1993:167, 181-2",0.003045009,0,
Wolf River Rockshelter,Cumberland,KY,0,1,2847,3400-1900,1,2500,11893,37,0,,0.003101425,0,
Cloudsplitter,Menifee,KY,0,1,2625,3400-1900,1,2500,13308,2743,0,"0 Cowan 1985:455-456, 460, 465",0.170892779,0,
Cold Oak,Lee,KY,0,1,2415,3400-1900,1,2000,10540,1335,0,"0 Gremillion 1993:169, 181-2",0.112421053,0,
Cox,Caldwell,KY,0,1,2306,3400-1900,1,2000,170,10,0,0 Wymer 1987:125-126,0.055555556,0,
Evans,Montgomery,KY,0,1,2267,3400-1900,1,2000,243,147,0,0 Rossen 2016:44,0.376923077,0,
Hansen,Greenup,KY,0,1,1550,1899-1250,2,1500,11084,308,0,0 Lopinot 1988:594,0.027036517,0,
Haystack Rockshelters,Powell,KY,0,1,1250,1899-1250,2,1000,6338,113,0,,0.017516664,0,
Gordon II,Livingston,KY,0,1,1040,1249-900,3,1000,59,92,1367,1367 Wymer 1987:125-126,0.96113307,0.900527009,
Foster,Daviess,KY,0,1,1025,1249-900,3,1000,1638,254,346,346 Scarry 1991:108-10,0.268096515,0.154602324,
Howard,Madison,KY,0,1,900,1249-900,3,500,102,0,27,,0.209302326,0.209302326,
Thompson,Greenup,KY,0,1,900,1249-900,3,500,320,25,926,,0.74822974,0.728560189,
Muir,Jessamine,KY,0,1,885,899-750,4,500,6558,572,5902,,0.496777164,0.452885206,
Wickliffe,Ballard,KY,0,1,850,899-750,4,500,991,822,327,,0.536915888,0.152803738,
Adams,Fulton,KY,0,1,800,899-750,4,500,1157,67,987,987 Edging and Dunavan 1986:92-96,0.476707372,0.446404342,
Andalex,Hopkins,KY,0,1,800,899-750,4,500,789,20,752,752 Crites 1991b:223,0.494554773,0.481742473,
Turk,Carlisle,KY,0,1,800,899-750,4,500,119,9,237,,0.673972603,0.649315068,
Wickliffe,Ballard,KY,0,1,775,899-750,4,500,2,0,0,,0,0,
Chambers,Marshall,KY,0,1,700,749-300,5,500,17217,459,2336,2336 Rossen 1987b:62,0.1396662,0.116729962,
Guilfoil,Fayette,KY,0,1,700,749-300,5,500,837,0,918,918 Rossen 1987a:168,0.523076923,0.523076923,
