Site,Feature,MedCal,SurfaceArea,LnSurfaceArea,RockNumber,RockWeight
41CM211,Feature 1,1898,160,5.07517381523383,NA,NA
41BX17,Feature 100,1922,2,0.693147180559945,417,44.54
41TV222,Feature 10,1921,0.54,-0.616186139423817,80,NA
41BR478,Burned Rock Midden,1928,150,5.01063529409626,13468,148.58
41CV1038,Feature 6,1986,1.28125,0.247836163904581,NA,NA
41MS99,Feature 26,2017,0.275,-1.29098418131557,24,6.4
41WM1126,Feature 23,2036,1.825,0.601579987034455,212,49.8
41BR228,Feature 4,2042,200,5.29831736654804,13500,200.6
41ED28,Feature 15,2117,0.0875,-2.43611648561857,31,3.9
41CV286,Feature 1,2133,4.7925,1.56705219593766,NA,NA
41BX1032,Feature 4,2150,0.1394,-1.97040778065571,NA,NA
41BX377,Feature 15,2150,2.1,0.741937344729377,37,10
41WM1010,Feature A7,2175,0.444,-0.811930716549912,95,14.93
41TV410,Feature 12,2223,0.72,-0.328504066972036,NA,40.8
41MS99,Feature 11,2226,0.385,-0.954511944694353,56,7.6
41WM1126,Feature 44,2230,0.18,-1.71479842809193,18,9
41WM1126,Feature 45,2230,0.3078,-1.17830505757736,16,8.4
41WM1126,Feature 36,2243,2.295,0.830732843512508,247,188.1
41BX126,Feature 1 (1.4),2251,169,5.12989871492307,NA,NA
41HY165,Feature 9-97,2316,0.785,-0.242071561199729,NA,NA
41MS99,Feature 13,2327,0.45,-0.798507696217772,30,6.4
41WM1126,Feature 27,2316,0.2072,-1.57407076859681,28,8.6
41CV124,Feature 1,2410,63.585,4.15237759347271,NA,NA
41MS99,Feature 29,2374,0.7125,-0.338975366839331,100,24.3
41WM1126,Feature 37,2406,0.4446,-0.810580277452041,36,16.7
41WM1126,Feature 31,2394,1.302,0.263901543786378,44,37.8
41WM1126,Feature 41,2437,0.435,-0.832409247893453,53,12.2
41HY165,Feature 3c/96,2461,0.675,-0.393042588109607,NA,NA
41BX377,Feature 16,2496,7.8,2.05412373369555,352,121
41MS99,Feature 10,2559,0.1386,-1.97616319222633,12,2.9
41WM1126,Feature 35,2558,3.24,1.17557332980424,103.75,213.75
41CV1007,Feature 1,2554,406,6.00635315960173,NA,NA
41MS99,Feature 4,2585,0.57,-0.562118918153541,68,11.7
41BX17,Feature 103,2587,1,0,174,17.9
41WM1126,Feature 8,2599,100,4.60517018598809,23000,1364
41CV594,Feature 2,2592,78,4.35670882668959,NA,NA
41KM69,Feature 35,2621,0.275,-1.29098418131557,42,11.87
41MS99,Feature 24,2732,0.176,-1.73727128394399,13,6.4
41BX228,Midden 2,2780,180,5.19295685089021,NA,NA
41MS99,Feature 27,2817,0.375,-0.980829253011726,19,3.6
41BX126,Feature 2,2834,19.625,2.97680426366847,NA,NA
41HY165,Feature 7/96,3038,0.44,-0.82098055206983,45,NA
41SS164,Feature 2,3065,56.71625,4.03806076579281,NA,NA
41BX126,Feature 1 (1.1),3154,169,5.12989871492307,NA,NA
41BL598,Feature 1,3174,132.665,4.88782715372335,NA,NA
41BX126,Feature 1 (1.3),3236,169,5.12989871492307,NA,NA
41BX831,12,3289,4,1.38629436111989,60,7.8
41BL278,Feature 7,3364,0.2,-1.6094379124341,16,2.2
41CV0960,Feature 3,3418,700,6.5510803350434,NA,NA
41HY160,Feature 3,3519,1.1,0.095310179804325,1119,NA
41KR621,Feature 7,3625,1.12,0.113328685307003,202,39.8
41TV222,Feature 231,3696,41.25,3.71965111278069,NA,NA
41BX126,Feature 1 (1.2/1.3),3770,169,5.12989871492307,NA,NA
41MS69,Feature 3,3770,0.455,-0.787457860031187,NA,NA
41TV1667,Feature 1,3769,1.1304,0.122571552388181,151,NA
41HY160,Feature 1,3841,1,0,251,NA
41BX17,Feature 105,3931,0.21,-1.56064774826467,20,4.7
41BX52,Feature 9,3962,0.38465,-0.955421449077193,NA,NA
41TV222,BRM2,4161,314,5.74939298590825,NA,NA
41BX52,Feature 4,4173,78.5,4.36309862478836,NA,NA
41BX17,Feature 104,4188,0.175,-1.74296930505862,113,7.5
41KR621,Feature 37,4232,0.3,-1.20397280432594,26,7.7
41KR621,Feature 1,4287,200.96,5.30310588327983,NA,NA
41BX126,Feature 1 (1.5),4347,169,5.12989871492307,NA,NA
41BX126,Feature 1 (1.6),4347,169,5.12989871492307,NA,NA
41LM49,Burned Mound 1,4474,254.34,5.5386719545926,NA,NA
41UV132,Feature 14,4546,0.2,-1.6094379124341,16,17.2
41KR621,Feature 19,4655,6.9,1.93152141160321,1062,174.2
41MS99,Feature 28,4651,0.33,-1.10866262452161,16,7.6
41KR621,Feature 16/17,4709,8,2.07944154167984,654,144.8
41ED29,Feature 37,4837,0.1375,-1.98413136187551,28,7.76
41HY160,Feature 11,4903,0.8,-0.22314355131421,132,NA
41CV1027,Feature 1,4950,86.8571428571429,4.46426473291086,NA,NA
41BX377,Feature 19,4997,11,2.39789527279837,1574,280
41TV222,Feature 204,5071,0.35,-1.04982212449868,50,NA
41KR621,Feature 34,5164,4.32,1.46325540225602,238,40.7
41KR621,Feature 25,5164,3.6,1.28093384546206,396,141.1
41KR621,Feature 38,5180,0.3,-1.20397280432594,11,9.1
41TV410,Feature 19,5405,0.5525,-0.593301845590229,NA,NA
41BX52,Feature 10,5521,0.785,-0.242071561199729,NA,NA
41BX126,Feature 7,5520,1.32665,0.282656967735254,NA,NA
41TV410,Feature 13,5527,0.49,-0.713349887877465,NA,NA
41MS69,Feature 1,5534,2,0.693147180559945,254,124.57
41TV222,Feature 214,5620,0.2625,-1.33750419695046,19,NA
41KR621,Feature 13,5668,2.2275,0.800879880362827,194,55
41KR621,Feature 28,5698,0.45,-0.798507696217772,124,24
41MS69,Feature 2,5858,3.4,1.22377543162212,928,247.33
41KR621,Feature 2,5950,0.5,-0.693147180559945,68,7.2
41ED28,Feature 40,5963,0.4968,-0.699567748362868,42,17.75
41TV540,Feature 13,6063,22.55,3.11573506594869,NA,NA
41KR621,Feature 22,6072,2.4,0.8754687373539,179,54.1
41TV540,Feature 27/29,6091,0.325,-1.1239300966524,NA,NA
41TV540,Feature 12,6096,0.25,-1.38629436111989,NA,NA
41KR621,Feature 5,6247,110,4.70048036579242,NA,NA
41UV132,Feature 4,6318,0.16,-1.83258146374831,28,63
41ED28,Feature 26,6438,0.35,-1.04982212449868,20,4.76
41KR621,Feature 26,6969,1.8,0.587786664902119,134,63.4
41KR621,Feature 14,7475,0.48,-0.7339691750802,77,16.5
41BX831,30(Ga),7738,1.56,0.444685821261446,22,1.7
41TV222,Feature 19/104,8275,4.18,1.43031124653667,500,NA
41BX377,Feature 12,8422,0.13,-2.04022082852655,NA,NA
41BX831,109 (o),8445,0.81,-0.210721031315653,NA,NA
41TV2125,4,8557,0.3762,-0.977634362115207,20,NA
41BX831,80 (M),8607,1.5,0.405465108108164,63,17.7
41TV2125,14,8761,0.444,-0.811930716549912,11,NA
41TV2125,12,8844,2.4975,0.915290231540572,187,NA
41TV2125,11,8854,2.6,0.955511445027436,688,NA
41TV222,Feature 181,8850,5.3066,1.66895132885514,NA,NA
41BX831,64(K),8981,1.5,0.405465108108164,195,8.4
41TV222,Feature 247,9013,0.05,-2.99573227355399,4,NA
41TV222,Feature 245,9195,1.76625,0.5688586550166,500,NA
41TV222,Feature 8,9226,8,2.07944154167984,500,NA
41TV2125,Feature 6,9288,1.1097,0.104089708524381,2,NA
41TV222,Feature 157,10546,2.24,0.806475865866948,100,NA
41TV222,Feature 236,10982,0.36,-1.02165124753198,20,NA
41TV222,Feature 255,11479,0.275,-1.29098418131557,20,NA
